well,bacteria,medium,type
A1,EC,BOV_SM,s
A2,BA,BOV_SM,s
A3,FP,BOV_SM,s
A4,BT,BOV_SM,s
A5,LJ,BOV_SM,s
A6,LB,BOV_SM,s
A7,BOV,BOV_SM,s
A8,BOB,BOV_SM,s
A9,AM,BOV_SM,s
A10,RI,BOV_SM,s
A11,None,BOV_SM,B
A12,BT,MM,p
B1,EC,BOV_SM,s
B2,BA,BOV_SM,s
B3,FP,BOV_SM,s
B4,BT,BOV_SM,s
B5,LJ,BOV_SM,s
B6,LB,BOV_SM,s
B7,BOV,BOV_SM,s
B8,BOB,BOV_SM,s
B9,AM,BOV_SM,s
B10,RI,BOV_SM,s
B11,None,BOV_SM,B
B12,FP,MM,p
C1,EC,BOB_SM,s
C2,BA,BOB_SM,s
C3,FP,BOB_SM,s
C4,BT,BOB_SM,s
C5,LJ,BOB_SM,s
C6,LB,BOB_SM,s
C7,BOV,BOB_SM,s
C8,BOB,BOB_SM,s
C9,AM,BOB_SM,s
C10,RI,BOB_SM,s
C11,None,BOB_SM,B
C12,AM,MM,p
D1,EC,BOB_SM,s
D2,BA,BOB_SM,s
D3,FP,BOB_SM,s
D4,BT,BOB_SM,s
D5,LJ,BOB_SM,s
D6,LB,BOB_SM,s
D7,BOV,BOB_SM,s
D8,BOB,BOB_SM,s
D9,AM,BOB_SM,s
D10,RI,BOB_SM,s
D11,None,BOB_SM,B
D12,RI,MM,p
E1,EC,BA_SM,s
E2,BA,BA_SM,s
E3,FP,BA_SM,s
E4,BT,BA_SM,s
E5,LJ,BA_SM,s
E6,LB,BA_SM,s
E7,BOV,BA_SM,s
E8,BOB,BA_SM,s
E9,AM,BA_SM,s
E10,RI,BA_SM,s
E11,None,BA_SM,B
E12,None,MM,B
F1,EC,BA_SM,s
F2,BA,BA_SM,s
F3,FP,BA_SM,s
F4,BT,BA_SM,s
F5,LJ,BA_SM,s
F6,LB,BA_SM,s
F7,BOV,BA_SM,s
F8,BOB,BA_SM,s
F9,AM,BA_SM,s
F10,RI,BA_SM,s
F11,None,BA_SM,B
F12,None,MM,B
G1,EC,BT_SM,s
G2,BA,BT_SM,s
G3,FP,BT_SM,s
G4,BT,BT_SM,s
G5,LJ,BT_SM,s
G6,LB,BT_SM,s
G7,BOV,BT_SM,s
G8,BOB,BT_SM,s
G9,AM,BT_SM,s
G10,RI,BT_SM,s
G11,None,BT_SM,B
G12,None,MM,B
H1,EC,BT_SM,s
H2,BA,BT_SM,s
H3,FP,BT_SM,s
H4,BT,BT_SM,s
H5,LJ,BT_SM,s
H6,LB,BT_SM,s
H7,BOV,BT_SM,s
H8,BOB,BT_SM,s
H9,AM,BT_SM,s
H10,RI,BT_SM,s
H11,None,BT_SM,B
H12,None,MM,B
