,bacteria,medium,mean,std
0,AM,BOB,0.64995,0.05015355587260656
1,AM,BOV,0.9262625,0.018405299093528005
2,AM,EC,0.31211249999999996,0.005184930755993206
3,AM,FP,0.4530138888888888,0.002259912578201005
4,AM,LB,0.7428125,0.044440786524818005
5,AM,LJ,1.319723076923077,0.04146679794749539
6,BA,AM,1.4849,0.020735967348555064
7,BA,BOB,1.4798375,0.03650566213692824
8,BA,BOV,1.4480625,0.0032740827808037617
9,BA,BT,0.6798375,0.006238058035603384
10,BA,EC,1.6052624999999998,0.11305361390975326
11,BA,FP,1.374725,0.09563379226101107
12,BA,LB,1.610575,0.017752758001692785
13,BA,LJ,1.6996384615384614,0.013231368004737513
14,BOB,AM,0.19665384615384615,0.07245859866648027
15,BOB,BA,0.16835000000000003,0.01622399628807758
16,BOB,BOV,1.116,0.008782874750836908
17,BOB,BT,0.174125,0.01268091304108483
18,BOB,EC,0.28935,0.005520731131129486
19,BOB,FP,0.7327250000000001,0.0171362797401692
20,BOB,LB,1.1932625,0.011469078295331538
21,BOB,LJ,0.9548923076923076,0.2343085066010509
22,BOV,AM,0.4031307692307692,0.015577932857425399
23,BOV,BA,0.13574999999999998,0.04106097261661275
24,BOV,BOB,0.3030125,0.01522931771470921
25,BOV,BT,0.1428625,0.03428300569038057
26,BOV,EC,0.5948375,0.135549730137237
27,BOV,FP,0.5998625,0.032942787631656874
28,BOV,LB,1.2101375,0.04023000063868866
29,BOV,LJ,0.9228461538461538,0.0017615963115197178
30,BT,AM,1.6790307692307693,0.0017166853372148315
31,BT,BA,0.42865000000000003,0.015437800829277626
32,BT,BOB,0.33423749999999997,0.006401348056811492
33,BT,BOV,0.3273,0.02098901829264266
34,BT,EC,0.5410625,0.043947698160553425
35,BT,FP,0.49636250000000004,0.01822929285670609
36,BT,LB,0.502775,0.003624664735454089
37,BT,LJ,1.8376384615384616,0.022206906128857947
38,EC,AM,1.0113615384615384,0.810995283890786
39,EC,BA,0.1109,0.00835700803717056
40,EC,BOB,0.3635,0.005223810337717519
41,EC,BOV,0.5030125,0.007722273431085188
42,EC,BT,0.11751249999999999,0.0035470302523535214
43,EC,FP,0.37475,0.00132582521472478
44,EC,LB,0.6266375,0.07030228506046028
45,EC,LJ,0.4129769230769231,0.00825792707837879
46,FP,AM,1.5309384615384616,0.01798566892427194
47,FP,EC,0.7417499999999999,0.4228026406216814
48,FP,LB,1.45175,0.001752230721109523
49,FP,LJ,1.7754076923076922,0.013798924673918534
50,LB,AM,0.2470846153846154,0.012485017977510103
51,LB,BA,0.0986875,0.024363654767113888
52,LB,BOB,0.33257499999999995,0.02867067559177649
53,LB,BOV,0.903425,0.03436149734804931
54,LB,BT,0.10306250000000002,0.010098000695957373
55,LB,EC,0.580075,0.010109676332878067
56,LB,FP,0.82155,0.017951439125225222
57,LB,LJ,0.5775384615384616,0.0014716251130545332
58,LJ,AM,1.0762307692307693,0.010837451804008415
59,LJ,BA,0.9263999999999999,0.015382710352138134
60,LJ,BOB,1.0337749999999999,0.032637306108194646
61,LJ,BOV,1.4349875,0.017075145395509125
62,LJ,BT,0.9041375,0.06215679239051657
63,LJ,EC,1.1427375,0.013853330175248296
64,LJ,FP,1.205975,0.013329921438461487
65,LJ,LB,1.160275,0.020848810917332167
